category,CodedMonth,Month,Year,DateOccur,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,latitude,longitude,id
2,2017-03,3,2017,3/1/17 0:12,52212,3,"BURGLARY-BUSINESS/NIT/FORCE ENT/UNOCCUPIE",4054,S GRAND BLVD,16,THE GENERAL TAX AND FINANCIAL SES, ,4054,GRAND,38.58367029,-90.24446421,0
8,2017-03,3,2017,3/1/17 0:20,250000,4,"LOITERING-BEGGING",600,N BROADWAY,35, ,WITHIN CROSSWALK,600,BROADWAY,38.6303097,-90.18778501,1
2,2017-03,3,2017,3/1/17 0:20,64701,4,"LARCENY-FROM MTR VEH UNDER $500",0,N 11TH ST / LUCAS AVE,35, , , , ,38.63197552,-90.19470643,2
2,2017-03,3,2017,3/1/17 0:30,64701,2,"LARCENY-FROM MTR VEH UNDER $500",1465,S GRAND BLVD,29,CARDINAL GLENNON HOSPITAL, ,1465,GRAND,38.62154875,-90.2387281,3
6,2017-03,3,2017,3/1/17 0:40,142320,5,"DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP",4228,PAGE BLVD,58, , ,4228,PAGE,38.65170234,-90.24150401,4
4,2017-03,3,2017,3/1/17 0:40,83000,6,"ARSON-KNOWINGLY BURNING/SUCCESS",0,HALL ST / RIVERVIEW DR,79, , , , ,38.72808018,-90.22271168,5
3,2017-03,3,2017,3/1/17 0:47,41013,2,"AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE",5339,ARSENAL ST,13, , , , ,38.60605365,-90.27731697,6
6,2017-03,3,2017,3/1/17 2:00,142320,2,"DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP",4300,MIAMI ST,15, , ,4300,MIAMI,38.59385036,-90.26315272,7
2,2017-03,3,2017,3/1/17 2:00,52222,3,"BURGLARY-BUSINESS/NIT/UNLAW ENT/UNOCCUPIED",1530,LAFAYETTE AVE,33,WALGREENS, ,1530,LAFAYETTE,38.6130823,-90.20929917,8
2,2017-03,3,2017,3/1/17 2:25,36111,3,"ROBBERY-COMMERCE PL/FIREARM USED/SUCCESS",2607,GRAVOIS AVE,24,7 ELEVEN, ,2607,GRAVOIS,38.60507921,-90.22342607,9
4,2017-03,3,2017,3/1/17 2:55,83000,5,"ARSON-KNOWINGLY BURNING/SUCCESS",5138,MAFFITT AVE,52, , ,5138,MAFFITT,38.67064143,-90.25847718,10
2,2017-03,3,2017,3/1/17 3:00,71013,4,"AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR",2211,MARKET ST,36,PEAR TREE INN,HOTEL,2211,MARKET,38.63126797,-90.21240017,11
2,2017-03,3,2017,3/1/17 3:30,71030,4,"AUTO THEFT-PERM RETNT/JOY RIDE",430,S 15TH ST,36, ,@GREYHOUND,430,15TH,38.62516688,-90.20373481,12
3,2017-03,3,2017,3/1/17 4:01,44015,5,"ASSLT-AGGRV-HND/FST/FT-2ND-ADUL-DOMESTIC",5930,HAMILTON TER,78, ,RESIDENCE,5930,HAMILTON,38.66937668,-90.28583495,13
2,2017-03,3,2017,3/1/17 6:50,65701,2,"LARCENY-MTR VEH PARTS UNDER $500",3635,VISTA AVE,29, , ,3635,VISTA,38.62278279,-90.24046607,14
6,2017-03,3,2017,3/1/17 7:00,142320,3,"DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP",3147,PESTALOZZI ST,25, , ,3147,PESTALOZZI,38.60384187,-90.23456089,15
2,2017-03,3,2017,3/1/17 7:35,67701,3,"LARCENY-FROM BUILDING UNDER $500",3709,PENNSYLVANIA AVE,19, , ,3709,PENNSYLVANIA,38.58862477,-90.2349451,16
